date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:36	79185/79185	---M-Z	200	added ('OK')	text/html	etag:%2213551-65201a0b-92fde0f9d974b1bd;gz%22	https://validthemes.net/site-template/ventix/index-light.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index-light.html	(from )
15:37:37	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-64b94017-82f3b5dc6195bc8a;gz%22	https://validthemes.net/robots.txt		(from )
15:37:38	1915/1915	---M--	200	added ('OK')	image/png	etag:%2277b-65201a0b-ac737ac881b84740;;;%22	https://validthemes.net/site-template/ventix/assets/img/favicon.png	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/img/favicon.png	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:40	8515/8515	---M-Z	200	added ('OK')	text/css	etag:%222143-65201a0b-5cd7ac0ae545db17;gz%22	https://validthemes.net/site-template/ventix/assets/css/flaticon-set.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/flaticon-set.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:42	174244/174244	---M-Z	200	added ('OK')	text/css	etag:%222a8a4-65201a0b-46cd88230dfd8ae2;gz%22	https://validthemes.net/site-template/ventix/assets/css/font-awesome.min.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/font-awesome.min.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:42	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-65201a0b-f2ca43def6c67259;gz%22	https://validthemes.net/site-template/ventix/assets/css/bootstrap.min.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/bootstrap.min.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:44	15820/15820	---M-Z	200	added ('OK')	text/css	etag:%223dcc-65201a0b-cb6d166f0e68ae0d;gz%22	https://validthemes.net/site-template/ventix/assets/css/swiper-bundle.min.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/swiper-bundle.min.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:44	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-65201a0b-aae92b20fb1658e5;gz%22	https://validthemes.net/site-template/ventix/assets/css/animate.min.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/animate.min.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:45	62926/62926	---M-Z	200	added ('OK')	text/css	etag:%22f5ce-65201a0b-27f3433462eaec17;gz%22	https://validthemes.net/site-template/ventix/assets/css/validnavs.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/validnavs.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:46	1610/1610	---M-Z	200	added ('OK')	text/css	etag:%2264a-65201a0b-68a4223efac32491;gz%22	https://validthemes.net/site-template/ventix/style.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/style.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:47	32461/32461	---M-Z	200	added ('OK')	text/css	etag:%227ecd-65201a0b-ce86bf7157b10923;gz%22	https://validthemes.net/site-template/ventix/assets/css/unit-test.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/unit-test.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:48	154192/154192	---M-Z	200	added ('OK')	text/css	etag:%2225a50-65201a0b-44b855e555ef6ad0;gz%22	https://validthemes.net/site-template/ventix/assets/css/helper.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/helper.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:48	79208/79208	---M-Z	200	added ('OK')	text/html	etag:%2213568-65201a0b-91515d03f93d87e;gz%22	https://validthemes.net/site-template/ventix/index.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index.html	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:49	138638/138638	---M-Z	200	added ('OK')	text/css	etag:%2221d8e-65201a0b-ed4b207866b3a5e8;gz%22	https://validthemes.net/site-template/ventix/assets/css/style.css	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/css/style.css	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:51	9666/9666	---M--	200	added ('OK')	image/png	etag:%2225c2-65201a0b-cabaa82609ec6c62;;;%22	https://validthemes.net/site-template/ventix/assets/img/logo.png	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/img/logo.png	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:51	588/588	---M-Z	200	added ('OK')	image/svg+xml	etag:%2224c-65201a0b-a7687ef41ae64445;gz%22	https://validthemes.net/site-template/ventix/assets/img/menu-white.svg	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/img/menu-white.svg	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:51	19267/19267	---M--	200	added ('OK')	image/jpeg	etag:%224b43-65201a0b-fa9a382ebdcac005;;;%22	https://validthemes.net/site-template/ventix/assets/img/shape/banner.jpg	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/assets/img/shape/banner.jpg	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:54	72882/72882	---M-Z	200	added ('OK')	text/html	etag:%2211cb2-65201a0b-b0bbdc68b4b794ed;gz%22	https://validthemes.net/site-template/ventix/home-regular-menu.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/home-regular-menu.html	(from https://validthemes.net/site-template/ventix/index-light.html)
15:37:54	85746/85746	---M-Z	200	added ('OK')	text/html	etag:%2214ef2-65201a0b-5eaf08c17e8eaa2a;gz%22	https://validthemes.net/site-template/ventix/index-vcard.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index-vcard.html	(from https://validthemes.net/site-template/ventix/index-light.html)
15:38:10	85727/85727	---M-Z	200	added ('OK')	text/html	etag:%2214edf-65201a0b-904ad135281b40f7;gz%22	https://validthemes.net/site-template/ventix/index-vcard-light.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index-vcard-light.html	(from https://validthemes.net/site-template/ventix/index-light.html)
15:38:11	81524/81524	---M-Z	200	added ('OK')	text/html	etag:%2213e74-65201a0b-cf5a85f39bd3e572;gz%22	https://validthemes.net/site-template/ventix/index-2-vcard.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index-2-vcard.html	(from https://validthemes.net/site-template/ventix/index-light.html)
15:38:14	73933/73933	---M-Z	200	added ('OK')	text/html	etag:%22120cd-65201a0b-85d40bf26760cafc;gz%22	https://validthemes.net/site-template/ventix/index-2.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index-2.html	(from https://validthemes.net/site-template/ventix/index-light.html)
15:38:17	73855/73855	---M-Z	200	added ('OK')	text/html	etag:%221207f-65201a0b-c52935bfae1ee050;gz%22	https://validthemes.net/site-template/ventix/index-2-light.html	C:/Users/GREATNESS/Desktop/portfolio/portfolio/portfolio/validthemes.net/site-template/ventix/index-2-light.html	(from https://validthemes.net/site-template/ventix/index-light.html)
